
Technique ID,Technique,Behavior to Detect,Telemetry / Log Source,Current Coverage,Detection Idea,Evidence Reference,Priority
T1078,Valid Accounts,Unusual authentication by a user or privileged account,Identity provider sign-in logs / VPN logs,Partial,Detect successful sign-ins that differ from the user's normal location device time or authentication pattern,E-03; E-07,High
T1059,Command and Scripting Interpreter,Office or document application spawning a scripting or interpreter process,Endpoint process telemetry / EDR,Partial,Alert on rare or unexpected Office-to-script-engine process chains,E-04,High
T1053.005,Scheduled Task/Job: Scheduled Task,New scheduled execution artifact created on a workstation,Windows task creation logs / EDR,Partial,Alert when a new scheduled task is created or modified outside approved administrative activity,E-05,High
T1685,Disable or Modify Tools,Security protection settings changed on an endpoint,Endpoint security logs / Windows configuration events,Partial,Alert when security or monitoring settings are changed and correlate the event with the responsible account and process,E-06,High
T1555,Credentials from Password Stores,Attempted access to stored credential material,EDR alerts / endpoint security telemetry,Good,Correlate credential-access alerts with the process user workstation and preceding activity,E-08,High
T1087,Account Discovery,Unusual burst of account and user enumeration from a workstation,Windows security logs / EDR / network telemetry,Partial,Detect unusually high volumes of account discovery activity from a single endpoint,E-09,Medium
T1069,Permission Groups Discovery,Repeated queries for groups and permissions,Windows security logs / EDR,Partial,Detect abnormal group and permission discovery activity outside normal administrative workflows,E-09,Medium
T1018,Remote System Discovery,Workstation rapidly querying multiple internal systems,EDR / DNS logs / network telemetry,Partial,Detect bursts of internal host discovery from a user workstation,E-09,Medium
T1135,Network Share Discovery,Unusual enumeration of shared folders and network resources,Windows file-server logs / SMB telemetry / EDR,Partial,Alert on abnormal network-share discovery volume from a workstation,E-09,Medium
T1021,Remote Services,Unexpected remote administration connection to a server,Windows authentication logs / server logs / network telemetry,Partial,Detect remote access from accounts or workstations that do not normally administer the destination server,E-10,High
T1074,Data Staged,Large or unusual collections of files copied into a temporary staging location,File-server audit logs / EDR / filesystem telemetry,Partial,Detect unusual bulk file access followed by copying into temporary or staging directories,E-11,High
T1560,Archive Collected Data,Large collections of files compressed into an archive,Endpoint telemetry / file-server telemetry,Partial,Alert on archive creation involving unusually large numbers or volumes of sensitive files,E-12,High
T1071.001,Application Layer Protocol: Web Protocols,Periodic outbound encrypted web connections to rare external domains,Firewall / proxy / DNS logs / EDR network telemetry,Partial,Detect periodic connections from an endpoint to rare or newly observed external domains,E-13,High
T1048,Exfiltration Over Alternative Protocol,Large encrypted outbound transfer to an unfamiliar external service,Firewall / proxy / network flow logs,Difficult,Detect unusually large outbound encrypted transfers and correlate them with recent staging or archive activity,E-14,Critical
T1486,Data Encrypted for Impact,Large-scale file-access failures or abnormal filename changes,File-server audit logs / endpoint telemetry / user reports,Partial,Detect rapid changes to large numbers of shared files and correlate with the responsible endpoint or account,E-15,Critical


