evidence_id,time,source,observation,analyst_interpretation,type,confidence,next_question
E-01,Mon 08:15,Public / OSINT,"Multiple employee names, job titles, and email patterns are discoverable on public company and social-media pages.","Publicly available employee and organizational information may have provided useful information for targeting the organization.",Inference,Medium,"What specific information was exposed, when was it collected, and was any of it used in the later activity?"
E-02,Mon 11:40,Email gateway,"A new external domain similar to the company name sends a targeted message to a finance employee.","The message is consistent with a targeted social-engineering attempt, but the exact contents and delivery mechanism are unknown.",Inference,High,"What were the sender address, message headers, subject, links, attachments, and message contents?"
E-03,Mon 11:44,Identity,"Finance user authenticates successfully after opening the message; sign-in risk is marked unusual for the user.","The authentication may be related to the suspicious message because it occurred shortly afterward, but the evidence does not prove that the message caused the authentication.",Inference,Medium,"What authentication method, source IP, device, location, session details, and conditional-access results were recorded?"
E-04,Mon 11:47,Endpoint,"A scripting engine launches from an Office-related process. Command content is intentionally omitted from this student scenario.","The activity is consistent with a possible user-triggered execution chain, but the omitted command content prevents determining what the scripting engine actually executed.",Inference,Medium,"What file, process tree, user, hash, command line, and parent/child process details exist?"
E-05,Mon 11:51,Endpoint,"A new scheduled execution entry appears and is configured to run when the user signs in.","The new execution entry is consistent with a possible mechanism for repeated execution when the affected user signs in.",Inference,High,"What created the entry, what executable or script does it launch, which account created it, and what is the creation timestamp?"
E-06,Mon 12:03,Endpoint security,"Security tooling reports that a local protection setting was changed and later restored.","The change may have reduced local security protection temporarily, but the evidence does not establish who made the change or why.",Inference,Medium,"Which protection setting changed, what process or account made the change, how long was it modified, and what other security events occurred during that period?"
E-07,Mon 12:10,Identity / endpoint,"A privileged account authenticates on the same workstation outside the administrator's normal pattern.","The authentication is unusual for the administrator and may indicate unauthorized use of a privileged account, although legitimate administrative activity has not been ruled out.",Inference,Medium,"Was the administrator performing authorized work, and what source, authentication method, session activity, and commands were associated with the account?"
E-08,Mon 12:14,Endpoint,"A security alert indicates attempted access to stored credential material.","The alert is consistent with an attempt to obtain authentication-related information from the workstation, but the evidence does not show whether any credentials were successfully obtained.",Inference,High,"What credential material was targeted, which process and account generated the alert, and was access successful?"
E-09,Mon 12:20,Endpoint / network,"The workstation queries users, groups, nearby systems, shared folders, and domain resources.","The broad queries are consistent with systematic information gathering about the internal environment.",Inference,High,"Which accounts, groups, systems, shares, and domain resources were queried, and what processes generated the activity?"
E-10,Mon 12:31,File server,"The finance user account connects to the file server using a remote administration protocol not normally used by that employee.","The unusual connection may indicate unauthorized remote access to the file server, although legitimate administrative use has not been completely excluded.",Inference,Medium,"Which remote administration protocol was used, what source workstation connected, what files or commands were accessed, and was the finance user authorized to perform this activity?"
E-11,Mon 12:42,File server,"A large collection of finance and customer export files is copied into a temporary staging folder.","The activity is consistent with deliberate collection and preparation of potentially sensitive information, but the reason for the copying has not been confirmed.",Inference,High,"Which files were copied, how many files and bytes were involved, who initiated the copies, and where did the files originate?"
E-12,Mon 12:49,File server,"The staged files are compressed into an archive with a generic name.","The compression is consistent with preparation of the staged information for subsequent movement or transfer, although the intended destination is not yet established.",Inference,High,"What process created the archive, which account initiated it, what files were included, and where was the archive stored afterward?"
E-13,Mon 13:05,Firewall,"The compromised workstation begins periodic encrypted web connections to a rare external domain every few minutes.","The regular outbound pattern is consistent with possible communication between the workstation and an external service, but the destination has not yet been confirmed as malicious.",Inference,Medium,"What domain and IP addresses were contacted, how long did the connections continue, what process generated them, and what DNS/TLS details are available?"
E-14,Mon 14:18,Firewall / proxy,"A large encrypted outbound transfer occurs to an unfamiliar external service.","The transfer is consistent with possible unauthorized movement of data outside the organization, but the exact contents of the transfer cannot be determined from this evidence alone.",Inference,Medium,"What destination received the transfer, how many bytes were sent, which workstation initiated it, what protocol was used, and can the transferred data be identified?"
E-15,Tue 07:50,File server / users,"Many shared documents can no longer be opened and file names have changed; business operations are disrupted","The widespread file-access problem and filename changes indicate significant disruption to shared business data and may be consistent with a destructive or encrypting event, but the exact mechanism requires forensic confirmation.",Inference,High,"Are the files encrypted, corrupted, deleted, or otherwise modified, when did the changes begin, which accounts or processes modified them, and can clean backups be restored?"

