Evidence ID,Tactic,Technique ID,Technique/Sub-technique,Reasoning,Confidence
E-01,Reconnaissance,T1589.003,Gather Victim Identity Information: Employee Names,"Publicly discoverable employee names and email patterns are consistent with gathering victim identity information before an intrusion.",High
E-01,Reconnaissance,T1591.004,Gather Victim Org Information: Identify Roles,"Publicly available job titles and organizational roles could provide information useful for targeting specific employees or departments.",High
E-02,Resource Development,T1583.001,Acquire Infrastructure: Domains,"The look-alike external domain may represent attacker-prepared infrastructure used for targeting, but the evidence does not prove who registered or controlled the domain.",Low
E-02,Initial Access,T1566,Phishing,"A targeted external message sent to a finance employee is consistent with phishing, but the available evidence does not identify whether it used an attachment, link, service, or another phishing method.",Medium
E-03,Initial Access,T1078,Valid Accounts,"The successful authentication by the finance user shortly after opening the suspicious message may indicate use of valid account credentials, but the evidence does not establish whether the credentials were compromised.",Medium
E-03,Execution,T1204,User Execution,"The finance user opened the suspicious message and then authenticated, which may indicate user interaction contributed to execution or access. The exact user action is not established.",Low
E-04,Execution,T1059,Command and Scripting Interpreter,"A scripting engine launched from an Office-related process is consistent with command or script execution, but the specific interpreter and command content are intentionally omitted.",Medium
E-05,Persistence,T1053.005,Scheduled Task/Job: Scheduled Task,"A new scheduled execution entry configured to run when the user signs in is consistent with use of a scheduled task for recurring execution.",High
E-06,Defense Evasion,T1685,Disable or Modify Tools,"A local security-protection setting was changed and later restored. This is consistent with possible impairment of security controls. In live ATT&CK v19.2 this behavior belongs to Defense Impairment; Defense Evasion is retained here to match the course taxonomy.",Medium
E-07,Privilege Escalation,T1078,Valid Accounts,"A privileged account authenticated on the affected workstation outside the administrator's normal pattern. This may indicate use of valid privileged credentials, but the source of those credentials is unknown.",Medium
E-08,Credential Access,T1555,Credentials from Password Stores,"The endpoint alert indicates attempted access to stored credential material. This is consistent with activity targeting credential storage, although the specific storage location and whether credentials were obtained are unknown.",High
E-09,Discovery,T1087,Account Discovery,"The workstation queried users and accounts, consistent with discovering available identities within the environment.",High
E-09,Discovery,T1069,Permission Groups Discovery,"Queries involving groups are consistent with attempts to understand group membership and permissions.",High
E-09,Discovery,T1018,Remote System Discovery,"Queries involving nearby systems are consistent with identifying other systems that may be reachable from the workstation.",High
E-09,Discovery,T1135,Network Share Discovery,"Queries involving shared folders are consistent with identifying network shares that may contain useful information or provide access to other resources.",High
E-10,Lateral Movement,T1021,Remote Services,"The finance account connected to the file server using an unusual remote administration protocol. This is consistent with remote-service-based movement, but the specific protocol is not provided.",Medium
E-11,Collection,T1213,Data from Information Repositories,"Finance and customer export files were copied from the file server, consistent with collecting information from an internal repository.",High
E-11,Collection,T1074.002,Data Staged: Remote Data Staging,"A large collection of files was copied into a temporary staging folder on the file server, consistent with centralized staging before possible transfer.",High
E-12,Collection,T1560,Archive Collected Data,"The staged files were compressed into an archive, consistent with packaging collected information before possible transfer.",High
E-13,Command and Control,T1071.001,Application Layer Protocol: Web Protocols,"Periodic encrypted web connections to a rare external domain are consistent with possible command-and-control communication, but the destination has not been confirmed as attacker-controlled.",Medium
E-14,Exfiltration,T1048,Exfiltration Over Alternative Protocol,"A large encrypted outbound transfer to an unfamiliar external service is consistent with possible exfiltration. The available evidence does not establish the protocol or whether it was the same channel used for command and control.",Medium
E-15,Impact,T1486,Data Encrypted for Impact,"Shared documents became inaccessible and filenames changed. This is consistent with data encryption for impact, but encryption itself has not been directly confirmed.",Medium

